Date,Close/Last,Volume,Open,High,Low
11/14/2025,$276.41,31647230,$271.405,$278.56,$270.70
11/13/2025,$278.57,29494040,$282.34,$282.84,$277.24
11/12/2025,$286.71,24829920,$291.675,$292.005,$283.69
11/11/2025,$291.31,19842140,$287.745,$291.915,$287.32
11/10/2025,$290.10,29557310,$284.42,$290.80,$282.855
11/07/2025,$278.83,34479590,$283.205,$283.78,$275.19
11/06/2025,$284.75,37173650,$285.33,$288.35,$281.14
11/05/2025,$284.31,31010300,$278.87,$286.415,$277.34
11/04/2025,$277.54,30078370,$276.75,$281.27,$276.26
11/03/2025,$283.72,29786000,$282.175,$285.53,$279.80
10/31/2025,$281.19,39267950,$283.21,$286.00,$277.03
10/30/2025,$281.48,74875990,$291.59,$291.59,$280.06
10/29/2025,$274.57,43580280,$267.75,$275.336,$267.67
10/28/2025,$267.47,29738560,$269.69,$270.73,$266.50
10/27/2025,$269.27,35235230,$264.815,$270.14,$264.28
10/24/2025,$259.92,28655130,$256.58,$261.68,$255.315
10/23/2025,$253.08,19901430,$252.98,$255.04,$251.85
10/22/2025,$251.69,35029370,$254.37,$256.36,$249.29
10/21/2025,$250.46,47312100,$254.74,$254.88,$244.15
10/20/2025,$256.55,22350160,$254.69,$257.33,$254.23
10/17/2025,$253.30,29671630,$250.76,$254.22,$247.81
