Date,Close/Last,Volume,Open,High,Low
11/21/2025,$178.88,346926200,$181.235,$184.56,$172.93
11/20/2025,$180.64,343504800,$195.95,$196.00,$179.85
11/19/2025,$186.52,247246400,$184.79,$187.855,$182.8301
11/18/2025,$181.36,213598900,$183.375,$184.80,$179.65
11/17/2025,$186.60,173628900,$185.965,$189.00,$184.32
11/14/2025,$190.17,186591900,$182.86,$191.01,$180.58
11/13/2025,$186.86,207423100,$191.05,$191.44,$183.85
11/12/2025,$193.80,154935300,$195.72,$195.89,$191.13
11/11/2025,$193.16,176483300,$195.155,$195.42,$191.30
11/10/2025,$199.05,198897100,$195.11,$199.94,$193.79
11/07/2025,$188.15,264942300,$184.90,$188.32,$178.91
11/06/2025,$188.08,223029800,$196.42,$197.62,$186.38
11/05/2025,$195.21,171350300,$198.77,$202.92,$194.65
11/04/2025,$198.69,188919300,$203.00,$203.9699,$197.93
11/03/2025,$206.88,180267300,$208.08,$211.335,$205.56
10/31/2025,$202.49,179802200,$206.45,$207.97,$202.07
10/30/2025,$202.89,178864400,$205.15,$206.16,$201.41
10/29/2025,$207.04,308829600,$207.98,$212.1899,$204.775
10/28/2025,$201.03,297986200,$193.05,$203.15,$191.91
10/27/2025,$191.49,153452700,$189.99,$192.00,$188.4318
10/24/2025,$186.26,131296700,$183.835,$187.47,$183.50
